source_id,source_type,source_name,url_or_path,access_date,content_type,nodes_covered,evidence_provided,confidence_level
LOG-011,company_official,ANTAM Official - Jetty Commissioning,https://www.antam.com/en/news-and-events/article/antam-starts-commissioning-of-jetty--belt-conveyor-and-refining-facilities-as-part-of-the-pomalaa-ferronickel-plant-expansion-project,2026-06-27,html,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,"Jetty 12.000 DWT; unloading 2x500 ton/jam; belt conveyor 4 km; P3FP US$573M",tinggi
LOG-012,web_public,Jakarta Post - ANTAM Pomalaa commissioning,https://www.thejakartapost.com/news/2014/10/04/antam-commissions-facilities-pomalaa-ferronickel-plant.html,2026-06-27,html,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,"P3FP 68% selesai; port + belt conveyor + smelter commissioned",tinggi
LOG-013,military_official,Lantamal VI TNI AL - Kunker Pelabuhan Vale,https://lantamal6-koarmada2.tnial.mil.id/danlantamal-vi-laksanakan-kunker-ke-pelabuhan-pt-vale-indonesia-tbk-sorowako/,2026-06-27,html,NODE-SULSEL-LUTIM-SOROWAKO-VALE,"Pelabuhan Vale Nuha; Logistics Operation Manager; barge scheduling + ore loading",tinggi
LOG-014,company_official,vale.com - About PT Vale Indonesia,https://www.vale.com/indonesia/about-pt-vale-indonesia,2026-06-27,html,NODE-SULSEL-LUTIM-SOROWAKO-VALE,"IUPK sampai 2035; 118.017 ha; 3 provinsi; Special Port services",tinggi
LOG-015,web_public,petromindo.com - Huayou confirms Sorowako HPAL 2026,https://www.petromindo.com/news/article/huayou-confirms-2026-start-for-sorowako-hpal-project-with-pt-vale,2026-06-27,html,NODE-SULSEL-LUTIM-SOROWAKO-VALE,"IHIP di Luwu Timur; HPAL + FPP + port + road; US$2.3B; operasi akhir 2027",tinggi
LOG-016,web_public,mongabay.co.id - Kala Tambang Mengubah Wajah Sorowako,https://www.mongabay.co.id/2015/08/25/kala-tambang-mengubah-wajah-sorowako/,2026-06-27,html,NODE-SULSEL-LUTIM-SOROWAKO-VALE,"Rute logistik Sorowako → Malili → Balantang; dampak sosial-ekologis",tinggi
LOG-017,government_official,KPPIP - Proyek Pembangunan Smelter,https://kppip.go.id/proyek-strategis-nasional/u-proyek-pembangunan-smelter/,2026-06-26,html,NODE-SULTENG-MOROWALI-IMIP|NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,"Morowali dan Konawe pada daftar PSN smelter",tinggi
LOG-018,government_official,KPPIP - Kawasan Industri Prioritas / KEK,https://kppip.go.id/proyek-strategis-nasional/s-pembangunan-kawasan-industri-prioritas-kawasan-ekonomi-khusus/,2026-06-26,html,NODE-SULTENG-MOROWALI-IMIP|NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,"Kawasan Industri Morowali + Kawasan Industri Konawe pada daftar KPPIP",tinggi
LOG-019,government_official,KEK.go.id - Daftar Lengkap SEZ Indonesia,https://kek.go.id/about,2026-06-27,html,ALL,"24 KEK Indonesia. Sulawesi: hanya Palu + Bitung + Likupang. TIDAK ADA di node nikel prioritas.",tinggi
LOG-020,web_public,Kompas.id - Dua PSN Nikel di Sultra Molor,https://www.kompas.id/baca/english/2023/11/10/en-dua-psn-hilirisasi-nikel-di-sultra-molor,2026-06-27,html,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,"IPIP PSN Desember 2022; 11.808 ha; Huayou; US$10B; masalah pembebasan lahan",tinggi
LOG-021,company_pdf,PT Vale - Pomalaa Block Development,data/raw/rev1_logistik/external_vale_pomalaa.pdf,2026-06-26,pdf,NODE-SULTRA-KOLAKA-POMALAA-ANTAM,"Pomalaa sebagai NSP; percepatan downstream nickel",tinggi
LOG-022,company_pdf,PT Vale - Morowali Low Carbon Nickel,data/raw/rev1_logistik/external_vale_morowali.pdf,2026-06-26,pdf,NODE-SULTENG-MOROWALI-IMIP,"Morowali PSN 2022; Bahodopi + Bungku Timur + Sambalagi",tinggi
LOG-023,government_official,Kemenhub - PM 71 Tahun 2016,https://dephub.go.id/post/read/kemenhub-sempurnakan-aturan-penggunaan-terminal-khusus-untuk-kepentingan-umum,2026-06-26,html,ALL,"Payung regulasi terminal khusus dan terminal untuk kepentingan sendiri",sedang
LOG-024,government_official,Wantimpres - PSN Baru Perpres 12/2025,https://wantimpres.go.id/en/2025/03/proyek-strategis-nasional-baru/,2026-06-27,html,ALL,"29 PSN baru era Prabowo; hilirisasi nikel tetap prioritas",tinggi
LOG-025,web_public,kliksultra.id - VDNI OSS Induk Bangkrut,https://kliksultra.id/perusahaan-induk-pt-vdni-dan-oss-dikabarkan-diambang-kebangkrutan/,2026-06-27,html,NODE-SULTRA-KONAWE-MOROSI-VDNI|NODE-SULTRA-KONAWE-OSS,"Jiangsu Delong diambang kebangkrutan; dampak pada VDNI dan OSS",sedang
